review,sentiment_label
Everything seems to be good but display was quit low quality overall a good productREAD MORE,negative
The display is very poor. When I am trying to watch from the side it is like showing the display black and blur 😕.READ MORE,negative
Overall performance is really good and budget laptop for students..Ryzen 3 Quad Core 7320U processor is equal to about i5 10th gen..Good to buy and only cons for me is display..Display is not much bad but colours are of low brightness. If you are not habitual of Oled or Amoled display on phone then you will not feel much difference.Overall 4 out 5 rating.READ MORE,positive
Best Laptop in the segment with awesome performance and design.Thanks for on time delivery.READ MORE,positive
Battery backup is like Max 6 hourREAD MORE,negative
Very good productREAD MORE,positive
AMAZING PRODUCT. AT THIS PRICE ...DONT AFRAID ALL ROUNDER KING.START WITHIN 5 SECOND. SOUND WAS GOOD. EXCELLENT BATTERY LIFE. MULTITASKING GOOD.DESIGN WAS ALSO GOOD. I WILL READY TO 40000 HAPPILY FR THIS LAPTOP BUT I GOT RS 32900. TOUCH SCREEN HIGHLIGHT ZONE TOO FAST.READ MORE,positive
Best at this price segment except the display and wifi connectivityREAD MORE,positive
Best product that i brought in recent years worth every pennyREAD MORE,positive
NiceREAD MORE,positive
Amazing product. Display is good but could be better.READ MORE,positive
Very great nice and perfect productREAD MORE,positive
It's quite good for a normal user since it's a laptop and not a pc .Though the quality of the hardware doesn't suit most of its said value.READ MORE,positive
Good budget laptopREAD MORE,positive
Laptop is best value for money Performance is fabulousDesign is goodMust buyREAD MORE,positive
Bast fantastic superREAD MORE,positive
Best performance in this priceREAD MORE,positive
"Everything is good except it's display, sound quality, performance everything is best on this priceREAD MORE",positive
Best budget laptop under this price rangeREAD MORE,positive
Display poorRam not expandableRom replaceable upto 1tbHeating problemBattery backup poor waste of moneyREAD MORE,negative
very bed product very low sound and display is very bed totally loss of money be carefullREAD MORE,negative
Good but not soo greatREAD MORE,positive
"Loved the laptop. Slim, light weight. Good performance. Display could have been better.READ MORE",negative
Everything is best but Display is the worst 👎👎👎👎👎.READ MORE,negative
It's a good lap in this price but camera is very poor it's not like a 720p camer it's like a 240p camera and quality is poorREAD MORE,negative
Performance is very well but only issue with the display.READ MORE,positive
"Laptop is very good . Performance is also good. Speakers are good but loud.Only con is Display  .it's a TN panel , viewing angels are not good . overall value for moneyREAD MORE",positive
Don't buy this laptop after using it 1 days it won't open after i charged it in my entire life i wouldn't seen such such an useless productREAD MORE,negative
Honestly reviewDisplay view only from straight on side or angle viewBattery backup 4 to 4.5 hoursNo LED backlightSound quality very poor if a fan is on you cannot listen audio from that laptopREAD MORE,negative
Product is not goodIt is not working after 10 daysREAD MORE,negative
Build quality looking wise best but not strong When you handle with 1 hand then you will Performance bestDisplay niceLooking BestSound NiceREAD MORE,positive
Only buy if you do not care about the screen quality.It's is also prone to finger smudges.Otherwise a decent laptopREAD MORE,negative
Good but not best 🙂READ MORE,negative
bad is price dropped. laptop is nice from other brand and past use laptopREAD MORE,negative
Nyc wow.READ MORE,positive
"Product seems fine, good have given backlitBig turn offREAD MORE",positive
"I am writing this after 3 weeks. It's brand new quality product. Charging well, bty life nearly 8 hrs. Other all laptop performance are well functioning. ❤️ asus.👍👍 highly recommended to by this product 👌👌READ MORE",positive
NiceREAD MORE,positive
Sound quality is very badREAD MORE,negative
"This is best laptop.value for money ❣️but,only problem backlight keyboard not given in this laptop 🙄READ MORE",positive
Every thing seems good but ram expension is not possibleREAD MORE,negative
Overall good laptop for daily purposeREAD MORE,positive
"All is good only display could be much better, if you have budget then go for only OLED display. Because this gives only one side clear display, from other side view its colour change. Running smoothly. You can also work on corel draw no problem.READ MORE",positive
GOOD PerformanceREAD MORE,positive
This is my initial reviewI got it for 28k for that price laptop is just fab....Iff you are looking laptop for office work and for entertainment go for it.Pros1-Design is just excellent feels premium.2-Performance is good not for heavy gamers or video editing causal gaming is okkk3-setup process is super smoothConsThere is mainly 2 major cons1- speaker is downward so audio output is not that great2- internet port is missingREAD MORE,positive
"Best laptop ,  good for studentsREAD MORE",positive
Asus vivobook go 15 is best of all work ... I  love it asusREAD MORE,positive
"Performance is outstanding for normal browsing and gaming,Display is average little whitish but greater than others, 5 hour battery backup, and booting is very fastREAD MORE",positive
NiceREAD MORE,positive
I am satisfied with this laptopREAD MORE,positive
Good laptop and good performance. Rich look with less amount.READ MORE,positive
Nice productREAD MORE,positive
Overall good laptop. Has display issues while watching videosREAD MORE,positive
Very niceREAD MORE,positive
This laptop is so good I think 🤔 very good for this budgetREAD MORE,positive
Very nice. All good.READ MORE,positive
I am happy everything is awesome 🖤I love it 😊READ MORE,positive
Battery ⭐⭐⭐⭐Performance ⭐⭐⭐⭐Value for money ⭐⭐⭐⭐Design ⭐⭐⭐⭐Build quality ⭐⭐⭐⭐READ MORE,positive
It's good value for money.READ MORE,positive
"Asus AMD ryzen 3 is such a amazing laptop, processor speed is really awesome and working very silent. Sound quality is moderate, display also good enough but long distance side view is not clear.You will have all kind of Microsoft apps from authorised micstore. Overall performance is really good at this price point. Thanks to Flipkart for quick and safe deliveryREAD MORE",positive
Good laptop in this priceREAD MORE,positive
Seems good..READ MORE,positive
Very good laptop I have purchased this product at 28k very nice valueREAD MORE,positive
Best product that i brought in recent years worth every pennyREAD MORE,positive
Sound is awesome ❤️👑💯 all round laptop 😁🤍READ MORE,positive
I am happy everything is awesome 🖤I love it 😊READ MORE,positive
Good budget laptopREAD MORE,positive
It is value for money laptop gaming performance is price range is good overall student laptop is good laptop build quality wise is superbREAD MORE,positive
The display is very poor. When I am trying to watch from the side it is like showing the display black and blur 😕.READ MORE,negative
"Loved the laptop. Slim, light weight. Good performance. Display could have been better.READ MORE",negative
everything is at par other then display. color and viewing angle are too bad. -1 star for displayREAD MORE,negative
Bast fantastic superREAD MORE,positive
Honestly reviewDisplay view only from straight on side or angle viewBattery backup 4 to 4.5 hoursNo LED backlightSound quality very poor if a fan is on you cannot listen audio from that laptopREAD MORE,negative
"Overall this is a good product, display could have been better as it's a bit whitish.Tip: Don't use Microsoft Edge browser, Use Chrome Browser you will get more battery life.READ MORE",negative
Nice 👌 product 👍👍👌👍READ MORE,positive
AlrightREAD MORE,positive
GOOD PRODUCT IN THIS PRICEREAD MORE,positive
Best Laptop in the segment with awesome performance and design.Thanks for on time delivery.READ MORE,positive
Performance is very well but only issue with the display.READ MORE,positive
Good for student only not for professional work . Screen quality is not good. But other things is good in this value .READ MORE,negative
Laptop is very fast this price range i am  very happy this productREAD MORE,positive
NiceREAD MORE,positive
Nice.READ MORE,positive
It's OK 👌READ MORE,negative
Good product value for money very fast deliveryREAD MORE,positive
